사용월,호선명,지하철역,04시-05시 승차인원,05시-06시 승차인원,06시-07시 승차인원,07시-08시 승차인원,08시-09시 승차인원,09시-10시 승차인원,10시-11시 승차인원,11시-12시 승차인원,12시-13시 승차인원,13시-14시 승차인원,14시-15시 승차인원,15시-16시 승차인원,16시-17시 승차인원,17시-18시 승차인원,18시-19시 승차인원,19시-20시 승차인원,20시-21시 승차인원,21시-22시 승차인원,22시-23시 승차인원,23시-24시 승차인원,00시-01시 승차인원,01시-02시 승차인원,02시-03시 승차인원,03시-04시 승차인원
202212,1호선,동대문,762,10546,8505,13440,18824,18641,16546,18381,22990,25110,27548,28399,29057,27937,23840,17073,14042,13368,10411,4793,588,23,1,0
202212,1호선,동묘앞,194,2748,3605,6064,10633,8934,9662,14509,20576,26930,31647,33723,35073,28363,16538,7857,5220,4406,3394,1358,122,2,0,0
202212,1호선,서울역,604,8028,12137,38148,66885,57091,59851,78423,87639,88454,77844,98797,118826,172813,211286,111667,83684,86082,59774,26461,2776,43,1,0
202212,1호선,시청,127,2197,3713,7195,9565,11529,15194,22724,24603,29949,37984,49761,58514,89785,164532,68288,59372,59335,39531,13533,1934,102,2,0
202212,1호선,신설동,348,8308,8716,20270,30116,19563,17631,20105,21661,23362,23962,25588,31311,39984,50985,20215,14664,12664,9080,3964,393,13,0,0
202212,1호선,제기동,383,4520,7665,21505,32488,21781,22877,30385,37192,41078,46013,51468,49192,43286,37040,18618,12939,9208,5751,2328,156,16,0,0
202212,1호선,종각,134,3869,4670,6369,10271,12959,17880,28787,35983,44614,56274,72399,82050,143509,209305,92139,86706,100519,80128,36262,1575,434,0,0
202212,1호선,종로3가,116,3708,3701,5176,8742,13883,18648,29457,42495,49213,60635,70611,77622,89099,98764,59754,49445,52669,42196,19155,4646,299,4,0
202212,1호선,종로5가,28,1617,2609,4987,8518,12247,19601,32596,43503,52824,62374,66538,71606,91329,97321,52071,38201,36409,21565,7731,461,14,0,0
202212,1호선,청량리(서울시립대입구),847,10288,14099,35488,46204,28871,27068,32973,38677,41907,45204,50559,58288,51970,39775,21477,17450,13960,8744,3503,214,4,0,0
